main_ServiceProvider,main_Device_Manufacturer,random,random2,IMEI,SubscriberNo,main_Device_Model,main_Device_OS,main_Device_DeviceLanguage,main_QOS_QOSDate,main_QOS_SignalStrength,main_QOS_Location_Latitude,Lat_Dom_Flag,main_QOS_Location_Longitude,Lon_Dom_Flag,main_QOS_DeltaTransmittedBytes,main_QOS_DeltaReceivedBytes,CountryID,main_Country,RegionID,main_Region,CityID,main_City,conn_Generation_Category
AT&T,samsung,,,4788041224,163-617-1406,SAMSUNG-SM-T337A,ANDROID44,en,2017-06-17 04:30:20 UTC,-84,39.11908363,,-90.85834989,,719,788,1,United States,0,Missouri,359,null,4G
AT&T,LGE,,,8904191185,198-625-6675,LG-D950,ANDROID44,en,2017-05-09 22:43:06 UTC,null,33.00338355,,-96.95511063,,5863,20926,1,United States,17,Texas,858,Lewisville,4G
AT&T,Sony,,,5883785969,792-907-6674,F3313,ANDROID60,es,2017-06-29 06:33:04 UTC,-62,33.4765374,,-93.99757,,38712,42684,1,United States,48,Arkansas,362,Texarkana,4G
AT&T,PANTECH,,,3993681993,668-372-4332,IM-100K,ANDROID60,ko,2017-06-27 14:35:30 UTC,null,38.3318598,,-85.6889099,,70387,129647,1,United States,33,Indiana,659,Jeffersonville,3G
AT&T,LGE,,,8184468894,772-311-3540,LG-E980,ANDROID44,en,2017-05-01 00:17:13 UTC,-99,29.85260634,,-97.52473246,,0,0,1,United States,45,Texas,325,null,3G
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,some blank rows in here,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AT&T,Sony,,,3441011551,392-855-9803,D6616,ANDROID50,en,2017-07-19 21:30:15 UTC,null,37.3609076,,-122.0972031,,450189,671324,1,United States,42,California,598,Los Altos,3G
AT&T,samsung,,,9544915215,411-199-5901,SAMSUNG-SGH-I747,ANDROID44,es,2017-06-04 20:47:34 UTC,null,41.74578269,,-88.31795035,,10471,161104,1,United States,29,Illinois,259,Aurora,3G
AT&T,LGE,,,4888110098,877-367-2224,LG-F460K,ANDROID50,ko,2017-06-18 13:37:04 UTC,null,38.9463071,,-77.3398007,,414,0,1,United States,22,Virginia,903,Reston,3G
AT&T,samsung,,,6832185209,288-649-2059,SM-G950U1,ANDROID70,en,2017-07-24 02:08:50 UTC,-79,26.1368367,,-80.2560792,,0,0,1,United States,12,Florida,558,Plantation,4G
AT&T,samsung,,,5609171820,29-382-1581,SAMSUNG-SGH-I747,ANDROID44,en,2017-06-19 13:58:22 UTC,null,41.22225587,,-79.3642481,,183,814,1,United States,34,Pennsylvania,408,null,3G
AT&T,samsung,,,5881702760,602-56-5463,SAMSUNG-SGH-I747,ANDROID44,en,2017-07-26 23:47:08 UTC,null,37.54598883,,-121.9804925,,68,108,1,United States,35,California,28,Fremont,3G
,,,,,,,,,,,,,,,,,,,,,,,
,,some more random,content,here,would,break,existing,pipelines,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
AT&T,samsung,,,9460457853,479-783-5687,SHV-E250L,ANDROID44,ko,2017-06-08 01:39:00 UTC,-95,33.0155762,,-117.0782658,,0,0,1,United States,36,California,105,San Diego,3G
AT&T,samsung,,,8871968247,234-236-3901,SAMSUNG-SM-T337A,ANDROID44,en,2017-06-12 03:42:50 UTC,null,33.9659462,,-84.24715445,,137,181,1,United States,40,Georgia,286,null,4G
AT&T,samsung,,,2357140880,273-576-7560,SAMSUNG-SM-G750A,ANDROID44,en,2017-07-02 22:31:51 UTC,null,33.1111333,,-96.11622852,,580,580,1,United States,11,Texas,227,Greenville,4G
AT&T,samsung,,,5729218107,122-576-2422,SAMSUNG-SM-G870A,ANDROID60,en,2017-06-08 16:52:58 UTC,-63,32.2653033,,-110.8935819,,129626,1413568,1,United States,31,Arizona,357,Tucson,4G
